God names,WtbD(Words to be defined)
"Abassil- deification of nothingness
              etymology-Unknown","elulam 𒂊𒇻𒇴- A type of song, possibly meaning song of sheep and sapling"
"Zalisa - deification of all things to be
              etymology-Unknown",Nibru/Nippur 𒂗𒆤𒆠/  Dur-jicnimbar(Durŋešnimbar) 𒄙𒄑𒊷𒆠 - Nippur is written as the city of Enlil/Durŋešnimbar(Bond-Wood-Datepalm-Land)
"Umakhi - deification of creation
              etymology-Unknown",Id-sala 𒀀𒇉𒊩𒆷 possibly written as The Thinly Stretched Watercourse/River
"Eversor - deification of destruction
              etymology-Unknown",Kar-jectina 𒋼𒀀𒃾𒈾 (Karŋeština)(Quay of Wine?)
"Nako - deification of time
              etymology-Unknown",Kar-asar 𒋼𒀀𒀀𒊬 (quay in the open/Quay in the Sunny Place)
"Jaga -deification of space (as in dimensions)
             etymology-Unknown",Id-nunbirtum 𒀀𒇉𒉣𒁉𒅕𒁺 Possibly written as Watercourse That carries The Prince's Sweat
"Bunrisita (Bunri-Shita) - the demiurge. ""The Two-Faced/The Many Faced""
              etymology-Unknown",E-zagin 𒂍𒍝𒆳/ E-zagina 𒂍𒍝𒆳𒈾 Lapis Lazuli Temple/ Temple of Lapis Lazuli
"Tiamat/Tiamut 𒀭𒋾𒊩𒆳/𒀀𒀊𒁀 (tiāmtu/tiāmtum[sea]) - The deification of the primordial sea/ large standing bodies of water
                          etymology: from the Akkadian word for sea = tiamatu/tatum ","E-kur 𒂍𒆳/Ki-ur 𒆠𒃡/Duran-ki 𒄙𒀭𒆠 Ekur written as The Foriegn Temple/ The Temple of the Netherworld, Ki-ur written as The Harness of the Netherworld, Duranki written as The Bond of Heaven and Earth"
"Absu/Apsu 𒍪𒀊/𒌤𒌤 - The deification of the primordial groundwaters/ moving bodies of water
                          etymology: from the Sumerian word for sea = ab, and to know/to discover = zu",Ja-jic-cua (Ŋaŋiššua) 𒂷𒄑𒋙𒀀- A temple of Ninlil written as The Enclosure covering The Water
"Alalu 𒀭𒀀𒆷𒆷𒀩/Enmesharra /En-me-cara𒀭𒂗𒈨𒊹𒊏 - The first King of Heaven who established power after a revolt
                                                    Alalu: etymology- Unknown
                                                    Enmesharra: etymology- Sumerian, ""the Lord of All Mehs""
                                                    approx. lit. translation: ""the Lord Who Impressed the Totality of Mehs""",black-headed 𒊕𒈪𒂵 possibly written as Black-Headed Sucklings
"En 𒀭𒂗 - The god Bunri made to established order
        etymology- Unknown, Sumerian word for ""Lord""",Jipar/Ĝipar 𒈪𒁖 a cloister (a specific building in the religious precinct) possibly written as The Black Dwelling
"Cho - The wife of En and mother of Enki.
          etymology - Unknown","halub𒄩𒇻𒂠/𒄑𒄩𒇻𒂠/halub-haran tree 𒄑𒄩𒇻𒂠𒌑𒄯𒀭 - Meaning unclear. Logographically may be understood as a domesticated plant/shrub possibly grown in or around bodies of water or moist environments. Use of ""ku"" may be both an indicator that the leaves were dried and/or that they bore a ""fishy"" taste"
"Anzar/Anshar 𒀭𒊹 - The deification of the Heavens and the sky, as well as the deification of outer space
Anzar etymology: Unknown
Anshar etymology: ""the Totality of the Sky""",E-mah 𒂍𒈤/Ec-mah- The Great House/Temple
"Anu 𒀭𒀭/Banebdjedet/ - The son of Anshar who deposed Alalu from his throne and withdrew the Enshi gods from war between tribes after the death of Bunri.
                                       The deification of the sky
Anu  etymology: Sumerian ""Sky/Heaven""
Banebdjedet etymology: Egyptian ""Ba the Lord of Djedet""",
" Nudimmud 𒉡𒁴𒄷𒄭/𒀭𒉡𒁶𒄷𒄭/Enki 𒀭𒂗𒆠 /Ea 𒀭𒂍𒀀/Ea-sarru/Ptah/Kothar wa-Hasis𐎋𐎘𐎗𐎆𐎃𐎒𐎒/Horon 𐎈𐎗𐎐/Hayani/Hayyin/Ptah-tanen/Ahura Mazdah - Adopted by Anu after the death of his father and raised as brother to Enlil. 
                                                                                                                                                                                                                     The god of wisdom, craftsmenship,creation, and water.
Nudimmud etymology: Sumerian meaning ""Creator""/ Lit. translation ""the One Not Bound by Blood/Fear""
Enki etymology: Sumerian ""Lord of the Earth/Territory""
Ea etymology: Sumerian ""Father of the House of Water""
Ptah etymology: Ancient Egyptian ""pth"" meaning: ""The Maker/Creator""
Horon etymology: Ancient Egyptian ""hwrwn"" meaning: ""Unknown""
Hayani/Hayyin etymology: Unknown, possibly Hurrian ""hyn"", Semetic(West) ""hyy""(""Life""), or Arabic ""hayyinun"" (""easy"") meaning: Unknown
Ptah-tanen etymology: Ancient Egyptian ""ttnn/ttnj"" meaning: ""Who Raised/Distinguished the Land/Mound""
Ahura Mazdah etymology: Avestan meaning: ""Lord of Wisdom""",Abzu 𒍪𒀊/𒍪𒀊𒆠/Engur 𒇉/Apsu/Apsuwa 𒀊𒋢 - The Knowing Sea/Sea of Knowing 
"Nunamnir 𒉡𒉆𒉪 /Enlil (Ellil) 𒀭𒂗𒆤/Bel 𒀭𒂗/El 𐎛𐎍/Elkunirsa 𒂖𒆪𒉌𒅕𒊭/Osiris/Onnophris - Raised as the firstborn of Anu and established as Prince of the Gods. For a time he was king of the Anuna-gods, before Enki was given the role.
                                                                                                                        The deification of the wind and air
Nunamnir etymology: Sumerian ""the One Who Decides Destinies""/""the One Without Fate""
Enlil etymology: Uknown/Sumerian "" the Lord of the Wind"", exact meaning Unknown
Bel etymology: Akkadian word for ""lord"", translates to ""the Lord""
El etymology: Ugaritic word for ""lord"", translates to ""the Lord""
Elkunirsa etymology: Hittite, direct translation Unknown
Osiris etymology: Borrowed from Egyptian ""wjsr"", ""The Powerful""
Onnophris etymology: Borrowed from Egyptian  ""wnn-nfrw"", ""He Who is Good""/""He who is Happy""(in a state of well-being)",Eridug/ Eridu 𒉣𒆠 -Land/Country/State of the Prince
"Nisaba/Nidaba/Nissaba/ 𒀭𒊺𒉀/ Nanibgal 𒀭𒀭𒉀/Nun-bar-ce-gunu 𒀭𒉣𒁇𒊺𒄖𒉡/𒀭𒉣𒁇𒊺𒁯𒉡/Renenut -  First-born of Enki and Ninhursag. She served as cheif scribe to Anu and is Enlil's mother-in-law.
                                                                                                                                The Goddess of Grain and Writing.
Nisaba etymology: Unknown, it is believed the name translates to ""Lady of Grain"" but her name is composed of the logogram for grain and potash
Nun-bar-ce-gunu etymology: Unknown, meaning: Unknown
Nidaba etymology: Unknown, alternate spelling of Nisaba
Nissaba  etymology: Unknown, alternate spelling of Nisaba
Renenut etymology: Egyptiam, approx. meaning: ""the Nurse""",E-engur 𒂍𒇉/Sea-House/E-engura (temple of the Abzu) 𒂍𒇉𒊏 - The temple of the Abzu built by Enki
"Haya 𒀭𒄩𒉌- An official and solidier of Enlil, father of Sud, and husband of Nisaba.
           etymology: Unknown, partial translation ""Glistening (Some kind of animal(assumed to aquatic or a fish))""","Hal-an-kug/Halan-Kug 𒄬𒀭𒆬- meaning and etymology unclear. possible logographic meaning ""The Distribution of Holy/Pure/[Silver(as a quality of shining)?] Heaven"", ""The Distribution of Heaven's Holiness/Purity/[Metal?""], ""The Basket of Holy/Pure/[Silver(as a quality of shining)?] Heaven"", ""The Basket of Heaven's Holiness/Purity/Metal"", ""The Pure/Silver Basket of Heaven"", ""The Pure/Silver(as a quality of shining)? Distribution of Heaven"""
"Sud  𒀭𒋢𒆳𒊒/𒀭𒋢𒆳𒊒𒆠/Ninlil 𒀭𒎏𒆤/Nintud 𒀭𒎏𒌅/Elat/Athiratu/Athirat 𐎀𐎘𐎗𐎚/𒀀𒅆𒋥/אֲשֵׁרָה/𒀀𒊺𒅕𒌈/Isis - Wife of Enlil and daughter of Nisaba and Haya. She was regarded as a princess and later queen who determined fates along with Enlil
Sud etymology: Unknown, 
Ninlil etymology: Uknown/Sumerian "" the Lady of the Wind"", exact meaning Unknown
Nintud etymology: Sumerian "" the Lady of Birth-giving""
Elat etymology: Ugaritic for ""Lady""
Athiratu etymology: Ugaritic, meaning :Unknown
Athirat etymology: Canaanite, meaning :Unknown
Isis etymology: Greek version of Egyptian ""ꜣst"", approx. meaning : ""Queen of the Throne""","Tukriš 𒌅𒊌𒊑𒅖𒆠 - possibly logographic meaning ""Land Born/Created by the Lion and Imposed with Dunes"", ""The Land Imposed With Dunes That Gives Birth To Lions"""
